Time,Attribute,State,Phase
2240601.7849999988,,, START
2323585.3700000006,cool,1,ON_TCATA
2335317.5800000024,tingling,1,ON_TCATA
2363223.3699999996,cool,0,ON_TCATA
2363989.7449999987,burning,1,ON_TCATA
2440065.4950000024,stinging,1,ON_TCATA
2440969.539999998,painful,1,ON_TCATA
2448833.4949999987,tingling,0,ON_TCATA
2599436.744999999, increasing sensation,1,ON_TCATA
2841595.4100000015,,, S_STOPPED
2857779.244999998,,, START
2872768.1200000006,stinging,0,OFF_TCATA
3028306.3699999982, increasing sensation,0,OFF_TCATA
3029056.955, decreasing sensation,1,OFF_TCATA
3338379.3700000024,painful,0,OFF_TCATA
3339363.409999998,tingling,1,OFF_TCATA
3458142.124999998,,, S_STOPPED
,stinging,,DOM_SENSE
