Time,Attribute,State,Phase
133385.03999999375,,, START
311460.2099999902,cool,1,ON_TCATA
352369.99999999534,tingling,1,ON_TCATA
458391.08499999566,stinging,1,ON_TCATA
624024.7499999969,painful,1,ON_TCATA
734032.5000000012,,, S_STOPPED
753216.499999995,,, START
755904.3349999993,painful,0,OFF_TCATA
756576.2099999993,cool,0,OFF_TCATA
757594.5849999989,stinging,0,OFF_TCATA
758387.0400000014,tingling,0,OFF_TCATA
816587.9599999898,cool,1,OFF_TCATA
817712.3349999893,stinging,1,OFF_TCATA
948559.2499999912,stinging,0,OFF_TCATA
950436.9999999908,tingling,1,OFF_TCATA
1189791.499999992,tingling,0,OFF_TCATA
1354238.9599999879,,, S_STOPPED
,cool,,DOM_SENSE
