Time,Attribute,State,Phase
688228,,, START
738596,stinging,1,ON_TCATA
739036,tingling,1,ON_TCATA
762099,warm,1,ON_TCATA
764093,stinging,0,ON_TCATA
764812,tingling,0,ON_TCATA
765252,stinging,1,ON_TCATA
824700,stinging,0,ON_TCATA
971988,burning,1,ON_TCATA
1061220,burning,0,ON_TCATA
1203582,burning,1,ON_TCATA
1251478,burning,0,ON_TCATA
1254382,burning,1,ON_TCATA
1312528,,, S_STOPPED
1313502,,, START
1344990,burning,0,OFF_TCATA
1508259,burning,1,OFF_TCATA
1510515,stinging,1,OFF_TCATA
1585326,stinging,0,OFF_TCATA
1587418,burning,0,OFF_TCATA
1646573,warm,0,OFF_TCATA
1654191, increasing sensation,1,OFF_TCATA
1757168, increasing sensation,0,OFF_TCATA
1760214,warm,1,OFF_TCATA
1830421,warm,0,OFF_TCATA
2077577,,, S_STOPPED
,warm,,DOM_SENSE
